username,first_name,last_name,email,region
raja_soori,Raja,Soori,raja@cmu.edu,India
joey,Joseph,Perrino,jperrino@andrew.cmu.edu,United States
daphne,Daphne,Yang,daphney@andrew.cmu.edu,United States
sara,Sara,Missak,smissak@andrew.cmu.edu,United States
kevin,Kevin,Lin,linkevin@cmu.edu,Netherlands
shawn,Shawn,Mendes,shawnmendes@gmail.com,Canada
weeknd,The,Weeknd,theweeknd@gmail.com,Canada
drake,Drake,Graham,drakegraham@gmail.com,Canada
justin,Justin,Bieber,jb@gmail.com,Canada
celine,Celine,Dion,celine@gmail.com,Canda
michelle,Michelle,Obama,michelle@obama.com,United States
barstool,Barstool,Sports,barstool@sports.com,United States
tedtalks,Ted,Talks,tedtalks@gmail.com,United States
trevorNoah,Trevor,Noah,trevorNoAh@gmail.com,United States
theDaily,The,Daily,thedaily@show.com,United States
